,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,COMBINED,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_1,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_2,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3,Domain_3
Sequence,Range,Match Percentage,P Match,G Match,Template P Count,Template G Count,Model P Count,Model G Count,Template P Nonmatch,Template G Nonmatch,Model P Nonmatch,Model G Nonmatch,Range,Match Percentage,P Match,G Match,Template P Count,Template G Count,Model P Count,Model G Count,Template P Nonmatch,Template G Nonmatch,Model P Nonmatch,Model G Nonmatch,Range,Match Percentage,P Match,G Match,Template P Count,Template G Count,Model P Count,Model G Count,Template P Nonmatch,Template G Nonmatch,Model P Nonmatch,Model G Nonmatch,Range,Match Percentage,P Match,G Match,Template P Count,Template G Count,Model P Count,Model G Count,Template P Nonmatch,Template G Nonmatch,Model P Nonmatch,Model G Nonmatch,Range,Match Percentage,P Match,G Match,Template P Count,Template G Count,Model P Count,Model G Count,Template P Nonmatch,Template G Nonmatch,Model P Nonmatch,Model G Nonmatch
5ht1b_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",100.0,8,2,8,2,8,2,0,0,0,0,"[[4], [5], [8], [9, 20]]",100.0,5,2,5,2,5,2,0,0,0,0,"[39, 69]",100.0,1,0,1,0,1,0,0,0,0,0,"[80, 95]",100.0,1,0,1,0,1,0,0,0,0,0,"[100, 120]",100.0,1,0,1,0,1,0,0,0,0,0
5ht2b_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,0,0,8,2,1,4,8,2,1,4,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",15.63,0,0,1,0,1,3,1,0,1,3,"[80, 95]",31.25,0,0,1,0,0,0,1,0,0,0,"[100, 120]",52.38,0,0,1,0,0,1,1,0,0,1
acm1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",37.14,0,0,8,2,2,6,8,2,2,6,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",16.13,0,0,1,0,2,5,1,0,2,5,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,1,1,0,0,1
acm2_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",38.1,0,0,8,2,1,3,8,2,1,3,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",18.75,0,0,1,0,1,2,1,0,1,2,"[80, 95]",31.25,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,1,1,0,0,1
acm3_rat,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",39.05,1,0,8,2,2,8,7,2,1,8,"[[4], [5], [8], [9, 20]]",13.33,1,0,5,2,1,3,4,2,0,3,"[39, 69]",16.13,0,0,1,0,1,4,1,0,1,4,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,1,1,0,0,1
acm4_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",35.24,0,0,8,2,0,3,8,2,0,3,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",14.71,0,0,1,0,0,2,1,0,0,2,"[80, 95]",31.25,0,0,1,0,0,0,1,0,0,0,"[100, 120]",38.1,0,0,1,0,0,1,1,0,0,1
adrb1_melga,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",39.05,0,1,8,2,1,7,8,1,1,6,"[[4], [5], [8], [9, 20]]",6.67,0,1,5,2,1,2,5,1,1,1,"[39, 69]",19.44,0,0,1,0,0,3,1,0,0,3,"[80, 95]",37.5,0,0,1,0,0,1,1,0,0,1,"[100, 120]",47.62,0,0,1,0,0,1,1,0,0,1
adrb2_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",37.14,0,0,8,2,1,4,8,2,1,4,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",20.0,0,0,1,0,1,3,1,0,1,3,"[80, 95]",25.0,0,0,1,0,0,0,1,0,0,0,"[100, 120]",47.62,0,0,1,0,0,1,1,0,0,1
drd3_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",43.81,0,0,8,2,1,3,8,2,1,3,"[[4], [5], [8], [9, 20]]",0.0,0,0,5,2,0,0,5,2,0,0,"[39, 69]",9.68,0,0,1,0,1,3,1,0,1,3,"[80, 95]",43.75,0,0,1,0,0,0,1,0,0,0,"[100, 120]",66.67,0,0,1,0,0,0,1,0,0,0
