,COMBINED,COMBINED,Domain1,Domain1,Domain_1,Domain_1,Domain_2,Domain_2,Domain_3,Domain_3
Sequence,Range,Match Percentage,Range,Match Percentage,Range,Match Percentage,Range,Match Percentage,Range,Match Percentage
5ht1b_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",100.0,"[[4], [5], [8], [9, 20]]",100.0,"[39, 69]",100.0,"[80, 95]",100.0,"[100, 120]",100.0
5ht2b_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",15.63,"[80, 95]",31.25,"[100, 120]",52.38
acm1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",37.14,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",16.13,"[80, 95]",25.0,"[100, 120]",38.1
acm2_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",38.1,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",18.75,"[80, 95]",31.25,"[100, 120]",38.1
acm3_rat,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",39.05,"[[4], [5], [8], [9, 20]]",13.33,"[39, 69]",16.13,"[80, 95]",25.0,"[100, 120]",38.1
acm4_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",35.24,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",14.71,"[80, 95]",31.25,"[100, 120]",38.1
adrb1_melga,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",39.05,"[[4], [5], [8], [9, 20]]",6.67,"[39, 69]",19.44,"[80, 95]",37.5,"[100, 120]",47.62
adrb2_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",37.14,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",20.0,"[80, 95]",25.0,"[100, 120]",47.62
drd3_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",43.81,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",9.68,"[80, 95]",43.75,"[100, 120]",66.67
hrh1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",43.81,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",22.58,"[80, 95]",43.75,"[100, 120]",47.62
agtr1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",35.24,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",12.9,"[80, 95]",31.25,"[100, 120]",28.57
ednrb_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",31.43,"[[4], [5], [8], [9, 20]]",20.0,"[39, 69]",7.89,"[80, 95]",17.65,"[100, 120]",47.62
ntr1_rat,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",34.29,"[[4], [5], [8], [9, 20]]",13.33,"[39, 69]",16.13,"[80, 95]",21.05,"[100, 120]",34.78
oprd_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",33.33,"[[4], [5], [8], [9, 20]]",33.33,"[39, 69]",10.53,"[80, 95]",25.0,"[100, 120]",33.33
oprd_mouse,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",33.33,"[[4], [5], [8], [9, 20]]",13.33,"[39, 69]",11.11,"[80, 95]",31.25,"[100, 120]",33.33
oprk_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",38.1,"[[4], [5], [8], [9, 20]]",26.67,"[39, 69]",6.45,"[80, 95]",25.0,"[100, 120]",38.1
oprm_mouse,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",35.24,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",12.9,"[80, 95]",25.0,"[100, 120]",33.33
oprx_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,"[[4], [5], [8], [9, 20]]",6.67,"[39, 69]",22.58,"[80, 95]",25.0,"[100, 120]",38.1
ox1r_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",36.19,"[[4], [5], [8], [9, 20]]",6.67,"[39, 69]",6.45,"[80, 95]",31.25,"[100, 120]",38.1
ox2r_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",37.14,"[[4], [5], [8], [9, 20]]",6.67,"[39, 69]",9.68,"[80, 95]",25.0,"[100, 120]",42.86
par1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",32.38,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",6.45,"[80, 95]",18.75,"[100, 120]",33.33
ccr5_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",29.52,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",18.18,"[80, 95]",6.25,"[100, 120]",19.05
cxcr4_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",28.57,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",13.89,"[80, 95]",12.5,"[100, 120]",28.57
ffar1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",27.62,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",12.9,"[80, 95]",9.52,"[100, 120]",28.57
lpar1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",38.1,"[[4], [5], [8], [9, 20]]",6.67,"[39, 69]",12.9,"[80, 95]",37.5,"[100, 120]",33.33
s1pr1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",41.9,"[[4], [5], [8], [9, 20]]",13.33,"[39, 69]",19.35,"[80, 95]",37.5,"[100, 120]",38.1
cnr1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",36.19,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",12.9,"[80, 95]",17.65,"[100, 120]",47.62
aa2ar_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",34.29,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",9.38,"[80, 95]",25.0,"[100, 120]",38.1
p2ry1_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",25.71,"[[4], [5], [8], [9, 20]]",6.67,"[39, 69]",12.9,"[80, 95]",0.0,"[100, 120]",19.05
p2y12_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",23.81,"[[4], [5], [8], [9, 20]]",0.0,"[39, 69]",12.5,"[80, 95]",0.0,"[100, 120]",14.29
opsd_bovin,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,"[[4], [5], [8], [9, 20]]",13.33,"[39, 69]",9.68,"[80, 95]",37.5,"[100, 120]",42.86
opsd_human,"[[[4], [5], [8], [9, 20]], [39, 69], [80, 95], [100, 120]]",40.0,"[[4], [5], [8], [9, 20]]",13.33,"[39, 69]",9.68,"[80, 95]",37.5,"[100, 120]",42.86
